time,total
Wed Dec 14 17:04:09 EST 2016,0m7.503s
Wed Dec 14 17:12:09 EST 2016,0m7.403s
Wed Dec 14 17:27:08 EST 2016,0m7.199s
Wed Dec 14 17:34:08 EST 2016,0m7.246s
Wed Dec 14 17:46:09 EST 2016,0m7.755s
Wed Dec 14 17:58:09 EST 2016,0m7.933s
Wed Dec 14 18:04:09 EST 2016,0m7.799s
Wed Dec 14 18:12:08 EST 2016,0m7.493s
Wed Dec 14 18:27:09 EST 2016,0m7.738s
Wed Dec 14 18:34:08 EST 2016,0m7.492s
Wed Dec 14 18:46:08 EST 2016,0m7.395s
Wed Dec 14 18:58:09 EST 2016,0m7.489s
Wed Dec 14 19:04:08 EST 2016,0m7.559s
Wed Dec 14 19:12:09 EST 2016,0m7.437s
Wed Dec 14 19:27:08 EST 2016,0m7.193s
Wed Dec 14 19:34:08 EST 2016,0m7.410s
Wed Dec 14 19:46:09 EST 2016,0m7.417s
Wed Dec 14 19:58:09 EST 2016,0m7.783s
Wed Dec 14 20:04:08 EST 2016,0m7.552s
Wed Dec 14 20:12:09 EST 2016,0m7.882s
Wed Dec 14 20:27:09 EST 2016,0m7.435s
Wed Dec 14 20:34:08 EST 2016,0m7.627s
Wed Dec 14 20:46:09 EST 2016,0m7.667s
Wed Dec 14 20:58:09 EST 2016,0m7.499s
Wed Dec 14 21:04:08 EST 2016,0m7.502s
Wed Dec 14 21:12:08 EST 2016,0m7.460s
Wed Dec 14 21:27:09 EST 2016,0m7.659s
Wed Dec 14 21:34:09 EST 2016,0m7.847s
Wed Dec 14 21:46:09 EST 2016,0m8.164s
Wed Dec 14 21:58:08 EST 2016,0m7.460s
Wed Dec 14 22:04:09 EST 2016,0m7.565s
Wed Dec 14 22:12:10 EST 2016,0m8.615s
Wed Dec 14 22:27:09 EST 2016,0m8.001s
Wed Dec 14 22:34:08 EST 2016,0m7.470s
Wed Dec 14 22:46:09 EST 2016,0m7.499s
Wed Dec 14 22:58:09 EST 2016,0m7.634s
Wed Dec 14 23:04:08 EST 2016,0m7.577s
Wed Dec 14 23:12:09 EST 2016,0m7.507s
Wed Dec 14 23:27:08 EST 2016,0m7.490s
Wed Dec 14 23:34:09 EST 2016,0m7.479s
Wed Dec 14 23:46:09 EST 2016,0m7.648s
Wed Dec 14 23:58:08 EST 2016,0m7.472s
Thu Dec 15 00:04:09 EST 2016,0m7.514s
Thu Dec 15 00:12:08 EST 2016,0m7.378s
Thu Dec 15 00:27:09 EST 2016,0m7.336s
Thu Dec 15 00:34:08 EST 2016,0m7.316s
Thu Dec 15 00:46:08 EST 2016,0m7.215s
Thu Dec 15 00:58:09 EST 2016,0m7.387s
Thu Dec 15 01:04:08 EST 2016,0m7.175s
Thu Dec 15 01:12:08 EST 2016,0m7.330s
Thu Dec 15 01:27:09 EST 2016,0m7.339s
Thu Dec 15 01:34:08 EST 2016,0m7.153s
