time,total
Wed Dec 14 17:04:02 EST 2016,0m0.068s
Wed Dec 14 17:12:01 EST 2016,0m0.071s
Wed Dec 14 17:27:01 EST 2016,0m0.069s
Wed Dec 14 17:34:01 EST 2016,0m0.072s
Wed Dec 14 17:46:01 EST 2016,0m0.125s
Wed Dec 14 17:58:01 EST 2016,0m0.073s
Wed Dec 14 18:04:01 EST 2016,0m0.072s
Wed Dec 14 18:12:01 EST 2016,0m0.074s
Wed Dec 14 18:27:01 EST 2016,0m0.071s
Wed Dec 14 18:34:01 EST 2016,0m0.062s
Wed Dec 14 18:46:01 EST 2016,0m0.066s
Wed Dec 14 18:58:01 EST 2016,0m0.064s
Wed Dec 14 19:04:01 EST 2016,0m0.060s
Wed Dec 14 19:12:01 EST 2016,0m0.092s
Wed Dec 14 19:27:01 EST 2016,0m0.079s
Wed Dec 14 19:34:01 EST 2016,0m0.062s
Wed Dec 14 19:46:01 EST 2016,0m0.071s
Wed Dec 14 19:58:01 EST 2016,0m0.076s
Wed Dec 14 20:04:01 EST 2016,0m0.060s
Wed Dec 14 20:12:01 EST 2016,0m0.058s
Wed Dec 14 20:27:01 EST 2016,0m0.055s
Wed Dec 14 20:34:01 EST 2016,0m0.052s
Wed Dec 14 20:46:02 EST 2016,0m0.111s
Wed Dec 14 20:58:01 EST 2016,0m0.072s
Wed Dec 14 21:04:01 EST 2016,0m0.076s
Wed Dec 14 21:12:01 EST 2016,0m0.057s
Wed Dec 14 21:27:01 EST 2016,0m0.088s
Wed Dec 14 21:34:01 EST 2016,0m0.070s
Wed Dec 14 21:46:01 EST 2016,0m0.058s
Wed Dec 14 21:58:01 EST 2016,0m0.067s
Wed Dec 14 22:04:02 EST 2016,0m0.076s
Wed Dec 14 22:12:01 EST 2016,0m0.076s
Wed Dec 14 22:27:01 EST 2016,0m0.087s
Wed Dec 14 22:34:01 EST 2016,0m0.071s
Wed Dec 14 22:46:02 EST 2016,0m0.067s
Wed Dec 14 22:58:01 EST 2016,0m0.075s
Wed Dec 14 23:04:01 EST 2016,0m0.134s
Wed Dec 14 23:12:01 EST 2016,0m0.072s
Wed Dec 14 23:27:01 EST 2016,0m0.073s
Wed Dec 14 23:34:01 EST 2016,0m0.064s
Wed Dec 14 23:46:01 EST 2016,0m0.071s
Wed Dec 14 23:58:01 EST 2016,0m0.066s
Thu Dec 15 00:04:01 EST 2016,0m0.063s
Thu Dec 15 00:12:01 EST 2016,0m0.077s
Thu Dec 15 00:27:01 EST 2016,0m0.078s
Thu Dec 15 00:34:01 EST 2016,0m0.066s
Thu Dec 15 00:46:01 EST 2016,0m0.066s
Thu Dec 15 00:58:01 EST 2016,0m0.091s
Thu Dec 15 01:04:01 EST 2016,0m0.058s
Thu Dec 15 01:12:01 EST 2016,0m0.080s
Thu Dec 15 01:27:01 EST 2016,0m0.076s
Thu Dec 15 01:34:01 EST 2016,0m0.058s
Thu Dec 15 01:46:01 EST 2016,0m0.069s
Thu Dec 15 01:58:01 EST 2016,0m0.058s
Thu Dec 15 02:04:01 EST 2016,0m0.086s
Thu Dec 15 02:12:01 EST 2016,0m0.066s
Thu Dec 15 02:27:01 EST 2016,0m0.070s
Thu Dec 15 02:34:01 EST 2016,0m0.068s
Thu Dec 15 02:46:01 EST 2016,0m0.060s
Thu Dec 15 02:58:01 EST 2016,0m0.068s
Thu Dec 15 03:04:01 EST 2016,0m0.066s
Thu Dec 15 03:12:01 EST 2016,0m0.058s
Thu Dec 15 03:27:01 EST 2016,0m0.060s
Thu Dec 15 03:34:01 EST 2016,0m0.068s
